technical director,Technical directors realise the artistic visions of the creators within technical constraints They coordinate the operations of various production units such as scene wardrobe sound and lighting and makeup They adapt the prototype and study the feasibility implementation operation and technical monitoring of the artistic project They are also responsible for the stage equipment and technical equipment
metal drawing machine operator,Metal drawing machine operators set up and operate drawing machines for ferrous and nonferrous metal products designed to provide wires bars pipes hollow profiles and tubes with their specific form by reducing its crosssection and by pulling the working materials through a series of drawing dies
precision device inspector,Precision device inspectors make sure precision devices such as micrometers and gauges operate according to design specifications They may adjust the precision devices and their components in case of any faults
air traffic safety technician,Air traffic safety technicians provide technical support regarding the safety of air traffic control and navigation systems They design maintain install and operate these systems both in the airport and on board the aeroplane according to regulations
hospitality revenue manager,Hospitality revenue managers maximise revenue generated from facilities such as hotels  holiday resorts and camping grounds by analysing trends and competition They assist establishment managers in strategic decisions Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff
medical laboratory assistant,Medical laboratory assistants work under supervision of the biomedical scientist and carry out basic laboratory procedures They work in the preanalytical handling of samples such as checking the details of specimens received for analysis maintaining analysers loading reagents and packaging specimens They also perform clerical tasks such as monitoring the stock levels of reagents used in analysis
asphalt laboratory technician,Asphalt laboratory technicians perform asphalt and related raw materials inspections and laboratory testing ensuring a high quality of the products They also participate in coming up with resolutions to technical issues on construction sites
primary school teaching assistant,Primary school teaching assistants provide instructional and practical support to primary school teachers They reinforce instruction with students in need of extra attention and prepare the materials the teacher needs in class They also perform clerical work monitor the students learning progress and behaviour and supervise the students with and without the head teacher present
physiotherapist,Physiotherapists are autonomous health professionals who are responsible for developing maintaining or restoring motor function and movement throughout the lifespan using evidencebased practice They relieve pain and treat or prevent physical conditions associated with injury disease or other impairments Physiotherapists empower patients and their carers to manage the condition outside clinical settings They work within their scope of practice and their professional Code of Conduct 
performing arts theatre instructor,Performing arts theatre instructors educate students in specific theory and primarily practicebased theatre courses at a specialised theatre or acting school or conservatory at a higher education level They provide theoretical instruction in service of the practical skills and techniques the students must subsequently master in theatre Performing arts theatre instructors monitor the students progress assist individually when necessary and evaluate their knowledge and performance of theatre practice through assignments tests and examinations
hydrogenation machine operator," Hydrogenation machine operators control equipment to process base oils for manufacture of margarine and shortening products 
"
pasta operator,Pasta operators manufacture dry pasta products They unload raw ingredients from storage silos and ingredient delivery systems These operators mix press extrude as to reach desired drying levels of pasta
tobacco shop manager,Tobacco shop managers assume responsibility for activities and staff in specialised shops
"rental service representative in machinery, equipment and tangible goods",Rental service representatives in other machinery equipment and tangible goods are in charge of renting out equipment and determining specific periods of usage They document transactions insurances and payments
mine surveyor,Mine surveyors prepare and maintain mining plans in line with statutory and management requirements They keep records of the physical progress of mining operations and of ore or mineral production
food safety specialist,"Food safety specialists organise processes and implement procedures to avoid problems with food safety They comply with regulations
"
land-based machinery technician,Landbased machinery technicians maintain overhaul and repair agricultural equipment and machinery
bus driver,Bus drivers operate buses or coaches take fares and look after passengers
import export manager in meat and meat products,Import export managers in meat and meat products install and maintain procedures for crossborder business coordinating internal and external parties
housing policy officer,Housing policy officers research analyse and develop housing policies which enable affordable and adequate housing for all They implement these policies to improve the housing situation of the population by measures such as building affordable housing supporting people to buy real estate and improving conditions in existing housing Housing policy officers work closely with partners external organisations or other stakeholders and provide them with regular updates
head chef,Head chefs manage the kitchen to oversee the preparation cooking and service of food
nonwoven filament machine operator,Nonwoven filament machine operators perform chemical nonwoven processing operations
head of higher education institutions,Heads of higher education institutions manage the daytoday activities of a higher education institution such as a college or vocational school Heads of higher education institutions make decisions concerning admissions and are responsible for meeting curriculum standards which facilitate academic development for the students They manage staff the schools budget campus programmes and oversee the communication between departments They also ensure the institution meets the national education requirements set by law
insulation supervisor,Insulation supervisors monitor insulation operations They assign tasks and take quick decisions to resolve problems
dismantling engineer,"Dismantling engineers research and plan the optimal way to dismantle industrial equipment machinery and buildings that reached the endoflife phase They analyse the required work and schedule the various operations They give team leaders instructions and supervise their work 
"
insurance claims handler,Insurance claims handlers ensure that all insurance claims are handled accurately and that payment for valid claims is made to the policyholders They use statistical data and reporting to calculate and adjust claims as needed communicate with and guide policyholders and monitor the progress of a claim
clothing development manager,Clothing development managers define product concepts that are consistent with target consumer and overall marketing strategy They receive scientific findings and specifications in order to lead the briefing and implementation of all relevant seasonal and strategic concepts including distribution by channel product colour introductions and merchandised assortments They ensure realisation and execution within budget They manage and execute the product line and category life cycle from concept determination through sales and distribution contribution in research of market industry trends to influence category concepts and products
nitroglycerin separator operator,Nitroglycerin separator operators maintain the gravity separator used in explosives processing controlling the temperature and liquid flow in order to separate nitroglycerin from spent acids
biomedical engineer,Biomedical engineers combine knowledge of engineering principles and biological findings for the development of medical treatments medicaments and general healthcare purposes They can develop solutions ranging from the improvement of the components in conventional medicaments up to implants developments and tissue treatment
legal guardian,Legal guardians legally assist and support minor children mentally disabled persons or incapacitated older adults in their personal life They can manage their property help with daily financial administration and assist with the wards medical or social needs
weaver,Weavers operate the weaving process at traditional hand powered weaving machines from silk to carpet from flat to Jacquard They monitor fabric quality and condition of machines such as woven fabrics for clothing hometex or technical end uses They carry out  mechanic works on machines that convert yarns into fabrics such as blankets carpets towels and clothing material They repair loom malfunctions as reported by the weaver and complete loom check out sheets
tile fitter,Tile fitters install tiles onto walls and floors They cut tiles to the right size and shape prepare the surface and put the tiles in place flush and straight Tile fitters may also take on creative and artistic projects with some laying mosaics
shoe and leather accessories shop manager,Shoe and leather accessories shop managers assume responsibility for activities and staff in specialised shops
tour operators manager,Tour operators managers are in charge of managing employees and of activities within tour operators related to the organisation of package tours and other tourism services
bee breeder,Bee breeders oversee the production and daytoday care of bees They maintain the health and welfare of bees
legal administrative assistant,"
Legal administrative assistants carry out the daily administrative activities of firms offices of notaries public and companies They perform activities such as writing mails phoneanswering and typingkeyboarding They combine these activities with specific knowledge and understanding of the procedures and codes managed in legal business affairs"
petroleum pump system operator,Petroleum pump system operators tend pumps that keep the circulation of oil and derived products running smoothly They monitor the flow within the pipes at a refinery and test the equipment to ensure minimum disruptions Pump systems operators work from a highly automated control room where they communicate with other workers to coordinate pump activities Pump system operators undertake minor repairs and maintenance and report as called for
protective clothing apparel manufacturer,Protective clothing apparel manufacturers produce personal protective equipment PPE made of textiles They produce wearing apparel resistant to different hazards eg thermal physical electrical biological and chemical etc high visibility warming clothing protective against cool cold rain UV solar radiation etc They follow standards and assess the fulfillment of requirements
coating machine operator,Coating machine operators set up and tend coating machines that coat metal products with a thin layer of covering of materials such as lacquer enamel copper nickel zinc cadmium chromium or other metal layering in order to protect or decorate the metal products surfaces They run all coating machine stations on multiple coaters
aquaculture hatchery manager,Aquaculture hatchery managers plan direct and coordinate the production in largescale aquaculture operations to breed fish and shellfish developing aquaculture breeding strategies using various types of spawning techniques They control the reproduction and the early life cycle stages of cultured species They supervise incubation early feeding and rearing techniques of the cultured species
gear machinist,Gear machinists make precision parts for gears and other driving elements They use a variety of machine tools
rooms division manager," Rooms division managers are in charge of managing and coordinating a team of employees at front desk reservations housekeeping and maintenance departments 
"
ceramic painter,Ceramic painters design and create visual art on ceramic surfaces and objects such as tiles sculptures tableware and pottery They use a variety of techniques to produce decorative illustrations ranging from stenciling to freehand drawing
telecommunications engineer,"Telecommunications engineers design build test and maintain telecommunication systems and networks including radio and broadcasting equipment 
They analyse customer needs and requirements ensure that the equipment meets regulations and prepare and present reports and proposals on telecommunicationrelated problems Telecommunications engineers design and oversee the service delivery in all its phases supervising the installation and use of telecommunications equipment and facilities preparing documentation and providing training for company staff once new equipment has been installed "
adult literacy teacher,Adult literacy teachers instruct adult students including recent immigrants and early school leavers in basic reading and writing skills usually on primary school level Adult literacy teachers involve the students in the planning and executing of their reading activities and assess and evaluate them individually through assignments and examinations
footwear quality manager,Footwear quality managers implement manage and promote the quality systems in the company using adequate tools and methodologies based on national international or company standards They are in charge of establishing requirements and objectives as well as preparing documents They analyse complaints and promote and coordinate corrective and preventive measures They promote an effective internal and external communication and ensure the consumers demands are met They are responsible for the definition of instruments which monitor and control of the quality systems namely internal or external auditing and they participate in the internal auditing
sprinkler fitter,"Sprinkler fitters are responsible for the installation of fire protection systems that sprinkle water They connect pipes tubing and the necessary accessories Sprinkler system installers also test the systems for leaks

"
electronic and telecommunications equipment and parts distribution manager,Electronic and telecommunications equipment and parts distribution managers plan the distribution of electronic and telecommunications equipment and parts to various points of sales
special educational needs teacher secondary school,Special educational needs teachers at secondary schools provide speciallydesigned instruction to students on with a variety of disabilities on a secondary school level and ensure they reach their learning potential Some special educational needs teachers at secondary schools work with children who have mild to moderate disabilities implementing a modified curriculum to fit each students specific needs Other special educational needs teachers at secondary schools assist and instruct students with intellectual disabilities and autism focusing on teaching them basic and advanced literacy life and social skills All teachers assess the students progress taking into account their strengths and weaknesses and communicate their findings to parents counselors administrators and other parties involved
performance production manager,Performance production managers take care of a range of practical issues concerning the production They deal with matters ranging from the recruitment of staff procurement of materials and services to freight customs coordination telecommunications labor relations logistics information technology government liaison venue booking scheduling operations management mending delay problems and workplace safety
metal production manager,"Metal production managers organise and manage the daytoday and longterm project work in a metal fabrication factory to process basic metals into fabricated metals They create and schedule production plans recruit new staff enforce safety and company policies and strive for customer satisfaction through guaranteeing the products quality
"
aircraft engine assembler,Aircraft engine assemblers build and install prefabricated parts to form aircraft engines such as lightweight piston engines and gas turbines They review specifications and technical drawings to determine materials and assembly instructions They inspect and test the engines and reject malfunctioning components
quarry engineer,Quarry engineers analyse which extraction methods such as excavating drilling and blasting are most suited to extract raw materials from the ground They develop plans before a new quarry is opened assessing if the quarry is profitable Quarry engineers manage the everyday operations in a quarry create and maintain progress reports oversee the staff ensure health and safety and assess the environmental impact a quarry has on its environment
audiology equipment shop manager, Audiology equipment shop managers assume responsibility for activities and staff in specialised shops
hardware and paint specialised seller,Hardware and paint specialised sellers sell hardware paints and other hardware in specialised shops
primary school teacher,Primary school teachers instruct students on a primary school level They develop lesson plans in line with curriculum objectives for the variety of subjects they teach including mathematics languages nature studies and music They monitor the students learning development and evaluate their knowledge and skills on the subjects taught through tests They build their course content on the students knowledge of previous learnings and encourage them to deepen their understanding on the subjects they are interested in They use class resources and teaching methods to create an inspiring learning environment Primary school teachers also contribute to school events and communicate with parents and administrative staff
tram driver,Tram drivers operate trams take fares and look after passengers 
container equipment assembly supervisor,Container equipment assembly supervisors monitor the assembly process of containers such as boilers or pressure vessels They train and coach the workers involved in the assembly to achieve production goals
warehouse operators for clothing,Warehouse operators for clothing are in charge of storing textile fabrics accessories and components for clothing production They ensure that all the components necessary for the production of clothing are ready to use in the production chain by classifying and registering the purchased component forecasting purchases and distributing them across different departments
administrative assistant,Administrative assistants perform administrative and office support for supervisors They perform a variety of tasks such as answering telephone calls receiving and directing visitors ordering office supplies maintaining the office facilities running smoothly and ensuring that equipment and appliances work properly
coffee grinder," Coffee grinders operate grinding machines to grind coffee beans to specified fineness 
"
medical administrative assistant,Medical administrative assistants work very closely with health professionals They provide office support such as correspondence fixing appointments and answering queries of patients
ICT security administrator,ICT security administrators plan and carry out security measures to protect information and data from unauthorised access deliberate attack theft and corruption
bricklaying supervisor,Bricklaying supervisors monitor bricklaying activities They assign tasks and take quick decisions to resolve problems
slate mixer,Slate mixers operate and maintain slate mixing machines that mix multicolored slate granules used for asphaltcoated roofing felt surfacing
marine engineering technician,Marine engineering technicians carry out technical functions to help marine engineers with the design development manufacturing and testing processes installation and maintenance of all types of boats from pleasure crafts to naval vessels including submarines They also conduct experiments collect and analyse data and report their findings
auction house manager,Auction house managers are responsible for the staff and activities in an auction house Moreover they manage the finances and marketing aspects of the auction house
software analyst,Software analysts elicit and prioritise user requirements produce and document software specifications test their application and review them during software development They act as the interface between the software users and the software development team
accounting manager,Accounting managers assume responsibility for all accounting activities relating to financial reporting They develop and maintain accounting principles and procedures to ensure timely and accurate financial statements issued supervise accounting staff and manage the accounting activities within the appropriate time frame and budget
foundry manager,Foundry managers coordinate and implement short and medium term casting production schedules and coordinate the development support and improvement of casting processes and the reliability efforts of the maintenance and engineering departments They also partner with ongoing remediation initiatives
telecommunications technician,"Telecommunications technicians install test maintain and troubleshoot telecommunications systems They repair or replace defective devices and equipment and maintain a safe working environment and a complete inventory of supplies They also provide user or customer assistance 
 "
promotions demonstrator,Promotions demonstrators proactively seek out and engage with new potential clients They provide product specific advice and demonstrate promotional goods or services
maritime instructor,Maritime instructors teach all those occupationally piloting a boat or a ship such as skippers and ship captains how to operate their inland water boats or maritime ships according to regulations They teach their students theory and techniques on how to optimally pilot steer and navigate and maintain their specific boat or ship observe and evaluate the students practice They also focus on nonsteering related subjects such as customer service in case of person transportation and safety measure regulations
foreign exchange trader,Foreign exchange traders buy and sell foreign currencies in order to secure a profit on fluctuations in foreign exchange rates They undertake technical analysis of economic information market liquidity and volatility  to predict the future rates of currencies on the foreign exchange market They trade on their own name or for their employers
aerospace engineering technician,Aerospace engineering technicians work with aerospace engineers to operate maintain and test equipment used on aircraft and spacecraft They review blueprints and instructions to determine test specifications and procedures They use software to make sure that parts of a spacecraft or aircraft are functioning properly They record test procedures and results and make recommendations for changes
table saw operator,Table saw operators work with industrial saws that cut with a rotating circular blade The saw is built into a table The operator sets the height of the saw to control the depth of the cut Particular attention is paid to safety as factors such as natural stresses within the wood may produce unpredictable forces
bridge construction supervisor,Bridge construction supervisors monitor the construction of bridges They assign tasks and take quick decisions to resolve problems
bricklayer,Bricklayers assemble brick walls and structures by skilfully laying the bricks in an established pattern using a binding agent like cement to bond the bricks together They then fill the joints with mortar or other suitable materials
meat cutter," Meat cutters cut carcasses of animals into large and smaller parts for further processing They remove bones from preprocessed carcasses of animals either manually or using machines 
"
criminologist,Criminologists study conditions pertaining to humans such as the social and psychological aspects that could lead them to commit criminal acts They observe and analyse different factors ranging from behavioural conditions up to social background and environment of suspects in order to advise organisations on the prevention of crime
video operator,"Video operators control the projected images of a performance based on the artistic or creative concept in interaction with the performers Their work is influenced by and influences the results of other operators Therefore the operators work closely together with the designers operators and performers Video operators prepare media fragments supervise the setup steer the technical crew program the equipment and operate the video system Their work is based on plans instructions and other documentation 
 "
fish and seafood specialised seller,"Fish and seafood specialised sellers sell fish crustaceans and molluscs in specialised shops 
 "
oil and gas production manager,Oil and gas production managers coordinate and implement short and medium term oil and gas production schedules and plans such as drilling extraction operations and waste management They steer one or more units and oversee the implementation of technical and human means within the framework of objectives of volume quality and planning Oil and gas production managers design and ensure that the production plans and schedules are met
metallurgical technician,Metallurgical technicians provide technical support in researching and performing experiments on minerals metals alloys oil and gas They also assist in improving the methods of extraction
spinning textile technician,Spinning textile technicians perform operations related to setting up spinning processes
resilient floor layer,Resilient floor layers place prefabricated tiles or rolls of flooring materials such as linoleum vinyl rubber or cork to serve as floor covering
textile quality technician,Textile quality technicians perform physical laboratory tests on textile materials and products They compare textile materials and products to standards and interpret results
curing room worker,Curing room workers assist in the blending aging and fermenting of tobacco strips and stems for the production of cigars chewing tobacco and snuff
enameller,Enamellers embellish metals such as gold silver copper steel cast iron or platinum by painting it The enamel they apply consists of coloured powdered glass
recruitment consultant,Recruitment consultants provide the suitable candidates to employers according to the specific job profile requested They perform testing and interviewing with job seekers shortlist few candidates to present to the employers and match candidates to appropriate jobs Recruitment consultants maintain relationships with employers to offer their services on a more longterm basis
actuarial consultant,Actuarial consultants analyse manage and provide guidance on financial impact of risks They can work in fields related to insurance pension investment banking healthcare etc Actuarial consultants apply technical and statistical models and theories to give strategic commercial and financial advice
lighting designer,Lighting designers develop a lighting design concept for a performance and supervise the execution of it Their work is based on research and artistic vision Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision Therefore the designers work closely with artistic directors operators and the artistic team During rehearsals and performance they coach the operators to obtain optimal timing and manipulation Lighting designers develop lighting plots cue lists and other documentation to support the operators and production crew Lighting designers sometimes also work as autonomous artists creating light art outside a performance context
dance répétiteur,Dance répétiteurs assist conductors and choreographers in directing rehearsals and guiding the artists in the rehearsal process Regardless of their nature and scope a répétiteurs actions are from an ethical and practical standpoint based on a commitment to respect the integrity of the work 
automotive battery technician,Automotive battery technicians assemble install inspect maintain and repair batteries in motor vehicles They use electrical test equipment to confirm good working condition after installation They evaluate batteries to determine the nature of power problems They also prepare old batteries for disposal
footwear designer,Footwear designers perform fashion trends analysis forecasting and market research create footwear concepts and build collection lines by operating mood or concept boards colour palettes materials drawings and sketches etc They conduct the sampling process make footwear prototypes and samples for presentations aimed to promoting the footwear concepts and collections They identify the range of materials and components define the design specifications by collaborating with the technical team and review the footwear samples prototypes and collections
public employment service manager,Public employment service managers supervise the operations of a public employment agency They oversee the staff that helps people find employment or provide occupational guidance
clothing product grader,Clothing product graders produce patterns in different sizes ie scaledup and scaleddown to reproduce the same wearing apparel in different sizes They draft patterns by hand or using software following size charts
public administration manager,Public administration managers direct monitor and evaluate the implementation of government policies They supervise staff and manage resources used for implementation and write reports on the implementation process They also communicate with government officials and the public to inform them on the policies Public administration managers may also participate in the design and creation of public policies
credit analyst,Credit analysts investigate credit applications from customers and evaluate if the applications comply with regulations and guidelines of the financial loangranting institution On the basis of credit analyses they advise financial institutions whether customers are loan worthy They perform tasks such as collecting data on the loan applicant aquire additional information from other departments or institutions and indicating what sort of agreements the financial institution should reach with the credit applicant Credit analysts also follow up on the development of the credit portfolio of clients
plumbing supervisor,Plumbing supervisors monitor plumbing operations They assign tasks and take quick decisions to resolve problems
securities analyst,Securities analysts perform research activities to gather and analyse financial legal and economic information They interpret data on the price stability and future investment trends in a certain economic area and make recommendations and forecasts to business clients
dancer,Dancers interpret ideas feelings stories or characters for audiences by using movement and body language mostly accompanied by music  This normally involves interpreting the work of a choreographer or a traditional repertory although it may sometimes require improvisation
bespoke footwear technician,Bespoke footwear technicians perform activities in small production environments eg workshops where footwear is typically custommade They design prepare cut and sew assemble and finish custom made footwear
judge,Judges preside over review and handle court cases hearings appeals and trials They ensure that court procedures conform to conventional legal processes and review evidence and juries Judges preside over cases involving such areas as crime family issues civil law small claims and juvenile offenses
puppet designer,"Puppet designers design and create puppets and manipulable objects for performers Their work is based on research and artistic vision Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision Therefore the designers work closely with artistic directors operators and the artistic team Puppet designers make puppets and manipulable objects out of a variety of materials and may build robotic elements into them Puppet designers sometimes also work as autonomous artists creating outside a performance context 
 "
flexographic press operator,Flexographic press operators use flexographic relief plate to print on almost any material The relief plate is inked and pressed onto the material to be printed
integration engineer,Integration engineers develop and implement solutions which coordinate applications across the enterprise or its units and departments They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet organisational needs They reuse components when possible and assist management in taking decisions They perform ICT system integration troubleshooting
weather forecaster,Weather forecasters gather meteorological data They predict the weather according to these data Weather forecasters present these forecasts to the audience via radio television or online
street artist,Street artists create visual art such as graffiti art or sticker art in urban environments public spaces on the streets typically expressing feelings or political views and ideas opting for nontraditional art venues
spa manager,Spa managers coordinate the daytoday operations of the spa establishment in order to provide guests with the best customer experiences They oversee the activities and performance of staff manage the financial aspects of the Spa deal with suppliers and run advertising campaigns for the spa in order to attract more customers
professional athlete,Professional athletes compete in sports and athletic events They train on a regular basis and exercise with professional coaches and trainers Building up the necessary skills needs natural talent as well as planning and endurance to get through the needed training programmes
specialised veterinarian,"Specialised veterinarians are professionals with a comprehensive scientific education They have the authority to carry out in an independent ethical and personally responsible capacity all aspects of veterinary medicine in the interest of the health and welfare of animals and public health in accordance with national and international legislation In addition they need a recognized qualification andor experience in a specific species andor veterinary procedure 
 
Veterinary specialisms are generally classified according to species andor procedures for example

 
	 Species covered may include equine and zoological animals 
	 Procedures covered may include cardiology orthopaedics 
 
Current lists  of specialisms and details for the specific qualifications and experience required can be found at 
httpwwwebvsorg 
httpswwwavmaorgPageshomeaspx 
 
You are advised to contact the relevant national regulatory body for further information"
automated fly bar operator,"Automated fly bar operators control the movements of sets and other elements in a performance based on the artistic or creative concept in interaction with the performers Their work is influenced by and influences the results of other operators Therefore the operators work closely together with the designers operators and performers Automated fly bar operators prepare and supervise the setup program the equipment and operate automated fly bar systems rigging systems or systems for horizontal movement Their work is based on plans instructions and calculations The manipulation of heavy loads close to or above performers and audience makes this a high risk occupation 
 
 "
commissioning technician,Commissioning technicians work with commissioning engineers to supervise the final stages of a project when systems are installed and tested They inspect the correct functioning of the equipment facilities and plants and when necessary they perform repairs and maintenance
branch manager,Branch managers are responsible for the management of all the affairs related with a company in a specific geographic region or business branch They receive indications from the headquarters and depending on the structure of the company they aim to implement the strategy of the company while adapting it to the market where the branch operates They envision management of employees communications marketing efforts and follow up to results and objectives
search engine optimisation expert,Search engine optimisation experts increase the ranking of a companys web pages with regard to target queries in a search engine They create and launch SEO campaigns and identify areas of improvement Search engine optimisation experts may conduct pay per click PPC campaigns
